Year,Dollar Value,Inflation Rate
1980,$100.00,13.50%
1981,$110.32,10.32%
1982,$117.11,6.16%
1983,$120.87,3.21%
1984,$126.09,4.32%
1985,$130.58,3.56%
1986,$133.01,1.86%
1987,$137.86,3.65%
1988,$143.57,4.14%
1989,$150.49,4.82%
1990,$158.62,5.40%
1991,$165.29,4.21%
1992,$170.27,3.01%
1993,$175.36,2.99%
1994,$179.85,2.56%
1995,$184.95,2.83%
1996,$190.41,2.95%
1997,$194.78,2.29%
1998,$197.82,1.56%
1999,$202.18,2.21%
2000,$208.98,3.36%
2001,$214.93,2.85%
2002,$218.33,1.58%
2003,$223.30,2.28%
2004,$229.25,2.66%
2005,$237.01,3.39%
2006,$244.66,3.23%
2007,$251.63,2.85%
2008,$261.29,3.84%
2009,$260.36,-0.36%
2010,$264.63,1.64%
2011,$272.98,3.16%
2012,$278.63,2.07%
2013,$282.71,1.46%
2014,$287.30,1.62%
2015,$287.64,0.12%
2016,$291.27,1.26%
2017,$297.48,2.13%
2018,$304.89,2.49%
2019,$310.26,1.76%
2020,$314.09,1.23%
2021,$328.85,4.70%
2022,$355.16,8.00%
2023,$369.78,4.12%
